Timestamp (Current Time),X,Y,Time (seconds),Result
2024-12-27 13:09:18.637900,-0.0108299985791541,0.7798281407985712,39.6288,
2024-12-27 13:09:18.667700,-0.014371201888555,0.7793017208345888,39.6586,
2024-12-27 13:09:18.698500,-0.0166501610385801,0.7794040017277576,39.6894,
2024-12-27 13:09:18.728100,-0.0171582995572229,0.7816910376001726,39.719,
2024-12-27 13:09:18.759100,-0.0333660025687841,0.7634879637131964,39.75,
2024-12-27 13:09:18.789500,-0.0659273096268343,0.7202174907152546,39.7804,
2024-12-27 13:09:18.819000,-0.0864416708371297,0.6811171335609061,39.8099,
2024-12-27 13:09:18.849900,-0.1104750498907087,0.6517003101577897,39.8408,
2024-12-27 13:09:18.879600,-0.1223953896774517,0.6276682978957829,39.8705,
2024-12-27 13:09:18.910200,-0.1440445506182431,0.604151297719302,39.9011,
2024-12-27 13:09:18.941200,-0.1555992619109394,0.5950330877226854,39.9321,
2024-12-27 13:09:18.967700,-0.1635722654645556,0.6018314032568033,39.9586,
2024-12-27 13:09:19.001400,-0.1692418845833971,0.551720005811193,39.9923,
2024-12-27 13:09:19.090700,-0.3536830657886661,0.2617663490986315,40.0816,O
2024-12-27 13:09:19.120900,-0.1868184546290013,0.3678397280829793,40.1118,O
2024-12-27 13:09:19.151600,-0.1562046385893097,0.3916412426982266,40.1425,O
2024-12-27 13:09:19.181300,-0.1354993297123766,0.4272493264964067,40.1722,
2024-12-27 13:09:19.212100,-0.1146558778315327,0.4710772254869557,40.203,
2024-12-27 13:09:19.241000,-0.087094471608328,0.5211955456622275,40.2319,
2024-12-27 13:09:19.272500,-0.060957414853889,0.5614468309986186,40.2634,
2024-12-27 13:09:19.302600,-0.0459322735153897,0.5702265097644617,40.2935,
2024-12-27 13:09:19.332700,-0.0385717539975914,0.5697293407708802,40.3236,
2024-12-27 13:09:19.361400,-0.0287927183621395,0.5750171361934934,40.3523,
2024-12-27 13:09:19.393200,-0.0194001828267599,0.5837519634713884,40.3841,
2024-12-27 13:09:19.422700,-0.0165241931381842,0.5664268087093791,40.4136,
2024-12-27 13:09:19.455100,-0.0119915510037046,0.5737107878553873,40.446,
2024-12-27 13:09:19.484600,-0.0109709569975469,0.5823046254559496,40.4755,
2024-12-27 13:09:19.514700,-0.0119524730506961,0.591649140460235,40.5056,
2024-12-27 13:09:19.543700,-0.0136314110663432,0.6000470940623457,40.5346,
2024-12-27 13:09:19.574000,-0.0146854897354054,0.6215083360390483,40.5649,
2024-12-27 13:09:19.603500,-0.0182848657644785,0.6507680817311117,40.5944,
2024-12-27 13:09:19.635200,-0.0229642848406134,0.6731364938031821,40.6261,
2024-12-27 13:09:19.664800,-0.0241223336382531,0.7113067676020154,40.6557,
2024-12-27 13:09:19.695000,-0.0280069174108172,0.7342594190562274,40.6859,
2024-12-27 13:09:19.725300,-0.0299291447765584,0.7681753342167128,40.7162,
2024-12-27 13:09:19.754500,-0.0288306075845889,0.795619667182459,40.7454,
2024-12-27 13:09:19.785700,-0.0227650035471094,0.7886807519839473,40.7766,
2024-12-27 13:09:19.818300,-0.0117919693993225,0.7527055685072354,40.8092,
2024-12-27 13:09:19.845800,-0.0015230891828835,0.7136329022715331,40.8367,
2024-12-27 13:09:19.874800,0.013117266330139,0.6602736720790714,40.8657,
2024-12-27 13:09:19.905000,0.031681271055781,0.6167102993641815,40.8959,
2024-12-27 13:09:19.936600,0.0391371893291786,0.5766155067194356,40.9275,
2024-12-27 13:09:19.967800,0.0483041163174103,0.5488528256924925,40.9587,
2024-12-27 13:09:19.997600,0.0489257598350091,0.5268453705951697,40.9885,
2024-12-27 13:09:20.027400,0.0515262518318181,0.5124630584619647,41.0183,
2024-12-27 13:09:20.058400,0.0536282152580824,0.498950280175545,41.0493,
2024-12-27 13:09:20.088500,0.0506311752597391,0.4853977205693801,41.0794,
2024-12-27 13:09:20.118300,0.0486028130245077,0.4706089174508366,41.1092,
2024-12-27 13:09:20.147800,0.0458975375571599,0.4642091951400489,41.1387,
2024-12-27 13:09:20.178100,0.0467896986111309,0.4579862461937176,41.169,
2024-12-27 13:09:20.209800,0.0453516724844599,0.4516202600021257,41.2007,
2024-12-27 13:09:20.238000,0.0459725652248636,0.4366312827428051,41.2289,
2024-12-27 13:09:20.268500,0.0465280652715682,0.4239623949524527,41.2594,
2024-12-27 13:09:20.297600,0.0500983486843286,0.4142605305931026,41.2885,
2024-12-27 13:09:20.329900,0.052683024308226,0.4036920574840072,41.3208,O
2024-12-27 13:09:20.359100,0.0563995716315583,0.3964880309904283,41.35,O
2024-12-27 13:09:20.391900,0.0580530082484761,0.3883871697443564,41.3828,O
2024-12-27 13:09:20.422200,0.0574153982025267,0.3837742917121277,41.4131,O
2024-12-27 13:09:20.452800,0.058410328141563,0.3827131640092162,41.4437,O
2024-12-27 13:09:20.481400,0.0583762428569024,0.379151955866136,41.4723,O
2024-12-27 13:09:20.511600,0.0612940132963892,0.3728222408778413,41.5025,O
2024-12-27 13:09:20.542100,0.0642539861733117,0.3723800637086137,41.533,O
2024-12-27 13:09:20.572500,0.0669201799337651,0.3685088927825182,41.5634,O
2024-12-27 13:09:20.603200,0.0644013624854278,0.3699038715609392,41.5941,O
2024-12-27 13:09:20.633400,0.0268694023694653,0.422348228902494,41.6243,
2024-12-27 13:09:20.662100,-0.0578252975251818,0.5595825691517318,41.653,
2024-12-27 13:09:20.691200,-0.1489087109362023,0.6778821712410311,41.6821,
2024-12-27 13:09:20.722400,-0.2036013280497805,0.7404093380797909,41.7133,
2024-12-27 13:09:20.750600,-0.2299554845431555,0.7895042643039685,41.7415,
2024-12-27 13:09:20.782200,-0.2429559424546798,0.7995063411228669,41.7731,
2024-12-27 13:09:20.812300,-0.2527544607583463,0.8068828508385768,41.8032,
2024-12-27 13:09:20.842400,-0.2573653589024689,0.8049469241142077,41.8333,X
2024-12-27 13:09:20.871900,-0.2594601524065193,0.8009770799146263,41.8628,
2024-12-27 13:09:20.904200,-0.2566388568366115,0.7959153944932126,41.8951,
2024-12-27 13:09:20.932300,-0.2531900366610761,0.7897048284576843,41.9232,
2024-12-27 13:09:20.964500,-0.2492155473193906,0.7864912193462019,41.9554,
2024-12-27 13:09:20.994000,-0.2461089564153192,0.7818837039918801,41.9849,
2024-12-27 13:09:21.023000,-0.2403238427379542,0.7548131009246234,42.0139,
