Unnamed: 0,x1,y1,x2,y2,confidence,cluster,new_cluster,Time (seconds)
1505,-0.1324,-0.243681226,-0.1036,-0.154801533,0.3804,-1,43,50.16666667
1506,0.3884,0.10839387,0.4635,0.132499617,0.7927,-1,43,50.2
1506,-0.2178,0.254750192,-0.1958,0.325673563,0.659,-1,43,50.2
1506,0.2212,0.192436015,0.2738,0.273690421,0.6493,-1,43,50.2
1506,-0.1343,-0.246468966,-0.1061,-0.160704981,0.3852,-1,43,50.2
1507,0.3691,0.107983908,0.4435,0.133565517,0.7788,-1,43,50.23333333
1507,-0.2195,0.243353257,-0.1935,0.321163985,0.7751,-1,43,50.23333333
1507,0.1855,0.192354023,0.2549,0.274428352,0.7598,-1,43,50.23333333
1507,-0.1334,-0.250814559,-0.1016,-0.161278927,0.7531,-1,43,50.23333333
1507,-0.1288,0.007461303,-0.0597,0.09822682,0.4157,-1,43,50.23333333
1507,-0.2009,-0.082320307,-0.1348,0,0.3616,-1,43,50.23333333
1508,0.3692,0.1080659,0.4437,0.13364751,0.7776,-1,43,50.26666667
1508,-0.2194,0.243353257,-0.1935,0.321081992,0.7678,-1,43,50.26666667
1508,-0.1334,-0.250978544,-0.1016,-0.161442912,0.7508,-1,43,50.26666667
1508,0.1837,0.192190038,0.2547,0.274428352,0.7278,-1,43,50.26666667
1508,-0.1285,0.007543295,-0.0597,0.098390805,0.414,-1,43,50.26666667
1508,-0.2008,-0.082402299,-0.1345,-0.000163985,0.3845,-1,43,50.26666667
1509,-0.2176,0.24909272,-0.1916,0.31714636,0.8383,-1,43,50.3
1509,0.1829,0.192845977,0.2387,0.274018391,0.7738,-1,43,50.3
1509,0.3488,0.107655939,0.4276,0.133729502,0.751,-1,43,50.3
1509,-0.1936,-0.077974713,-0.1187,0.020416092,0.7285,-1,43,50.3
1509,-0.2698,-0.177841379,-0.2137,-0.090191571,0.561,-1,43,50.3
1509,0.348,0.106344061,0.4778,0.136435249,0.5234,-1,43,50.3
1509,-0.1317,-0.246878927,-0.0975,-0.156605364,0.5071,-1,43,50.3
1510,0.3298,0.107819923,0.4077,0.132745594,0.7358,-1,43,50.33333333
1510,0.3294,0.106508046,0.4375,0.13471341,0.5947,-1,43,50.33333333
