Unnamed: 0,x1,y1,x2,y2,confidence,cluster,new_cluster,Time (seconds)
668,-0.4949,-0.148967715,0.3143,0.37032956,0.5947,-1,29,22.26666667
669,0.0793,-0.154938365,0.1256,-0.115532075,0.7758,-1,29,22.3
669,-0.4948,-0.149042348,0.3143,0.37032956,0.5871,-1,29,22.3
670,0.0782,-0.152102306,0.1249,-0.111054088,0.7712,-1,29,22.33333333
670,-0.4739,-0.147922851,0.3344,0.371747589,0.4117,-1,29,22.33333333
670,-0.1298,-0.062318658,-0.0933,-0.025002096,0.3654,-1,29,22.33333333
670,-0.0052,-0.305846541,0.007,-0.279277149,0.3054,-1,29,22.33333333
670,0.0293,-0.082469602,0.1031,0.002089727,0.2979,-1,29,22.33333333
671,-0.1304,-0.058587002,-0.0936,-0.020374843,0.646,-1,29,22.36666667
671,0.0787,-0.150311111,0.1271,-0.107620964,0.477,-1,29,22.36666667
671,0.0303,-0.077842348,0.1022,0.005522851,0.4042,-1,29,22.36666667
671,-0.4734,-0.150833543,0.3364,0.372344654,0.3651,-1,29,22.36666667
672,0.077,-0.147624319,0.1336,-0.105307338,0.5611,-1,29,22.4
672,-0.2574,-0.143220964,0.3666,0.37271782,0.3968,-1,29,22.4
672,-0.1309,-0.056721174,-0.0947,-0.014478826,0.3765,-1,29,22.4
672,0.031,-0.074036059,0.1017,0.006642348,0.3096,-1,29,22.4
673,0.0341,-0.071797065,0.1008,0.010597904,0.5973,-1,29,22.43333333
673,-0.2255,-0.146952621,0.3585,0.372270021,0.5211,-1,29,22.43333333
673,0.075,-0.148072117,0.1403,-0.100456184,0.4656,-1,29,22.43333333
673,0.0197,-0.246737107,0.0346,-0.228228092,0.3443,-1,29,22.43333333
674,0.0338,-0.071797065,0.1008,0.010672537,0.5571,-1,29,22.46666667
674,-0.2253,-0.146803354,0.3586,0.372270021,0.5284,-1,29,22.46666667
674,0.0751,-0.148072117,0.1403,-0.100456184,0.4795,-1,29,22.46666667
674,0.0199,-0.24681174,0.0346,-0.228526625,0.3254,-1,29,22.46666667
675,0.0319,-0.069110273,0.0998,0.014553459,0.602,-1,29,22.5
675,-0.0486,0.296815933,-0.0022,0.373165618,0.5283,-1,29,22.5
675,-0.3547,-0.14120587,0.3533,0.371822222,0.4275,-1,29,22.5
675,0.0741,-0.139937107,0.1263,-0.097620126,0.3036,-1,29,22.5
675,-0.0111,0.018210482,0.028,0.065975681,0.2651,-1,29,22.5
676,0.0722,-0.130906499,0.1179,-0.092545073,0.536,-1,29,22.53333333
676,-0.0028,-0.336371488,0.0133,-0.299502725,0.3149,-1,29,22.53333333
676,-0.1733,-0.134563522,0.3514,0.371822222,0.2649,-1,29,22.53333333
676,-0.048,0.303607547,-0.0038,0.372941719,0.2532,-1,29,22.53333333
677,0.07,-0.127697275,0.1157,-0.087022222,0.8262,-1,29,22.56666667
