Unnamed: 0,x1,y1,x2,y2,confidence,cluster,new_cluster,Time (seconds),Timestamp (Current Time),X,Y
1164,0.0301,0.03788046,0.0728,0.126596169,0.3169,-1,31,38.8,2025-01-02 16:32:47.239400,-0.3079766743259282,0.5746157964663192
1182,0.2221,-0.228676628,0.2762,-0.055836782,0.7249,-1,31,39.4,2025-01-02 16:32:47.848300,-0.1030031313316889,0.306262449997206
1187,-0.0355,0.167428352,0.1379,0.375442912,0.7242,-1,31,39.6,2025-01-02 16:32:48.055100,-0.0370573654725565,0.3567068191282435
1190,-0.3707,-0.098144828,-0.3494,-0.038454406,0.3906,-1,31,39.7,2025-01-02 16:32:48.146600,-0.0222781342302253,0.3843353121129799
1193,-0.3841,-0.105524138,-0.3622,-0.049359387,0.4774,-1,31,39.8,2025-01-02 16:32:48.240400,-0.0047026349341183,0.3958548382153849
1196,-0.3878,-0.12102069,-0.367,-0.062724138,0.5396,-1,31,39.9,2025-01-02 16:32:48.361800,0.0149347974325517,0.4453415152536691
1199,-0.3873,-0.135697318,-0.366,-0.075924904,0.5582,-1,31,40.0,2025-01-02 16:32:48.453000,0.0110469591567387,0.4838290197379215
1202,-0.3933,-0.142748659,-0.3701,-0.080516475,0.2917,-1,31,40.1,2025-01-02 16:32:48.543300,0.0190680614139083,0.5115925360407704
1205,-0.3942,-0.142338697,-0.3708,-0.079450575,0.4996,-1,31,40.2,2025-01-02 16:32:48.664200,0.0265836876043204,0.5167870579518641
1210,-0.4374,-0.258439847,-0.4176,-0.197355556,0.284,-1,31,40.3,2025-01-02 16:32:48.753400,0.0339438649145842,0.5236240330689955
1212,-0.3749,0.11962682,-0.0117,0.408485824,0.683,-1,31,40.4,2025-01-02 16:32:48.845900,0.0295873859346917,0.5171566144300089
1216,-0.38,-0.408485824,-0.1625,0.0631341,0.7851,-1,31,40.5,2025-01-02 16:32:48.936200,0.0342683706432587,0.4958416783993339
1217,-0.2317,0.161278927,-0.0403,0.408239847,0.8088,-1,31,40.6,2025-01-02 16:32:49.057000,-0.0724916939580946,0.4788654255578051
1222,-0.4827,-0.409961686,-0.1003,0.190058238,0.5097,-1,31,40.7,2025-01-02 16:32:49.146800,-0.2846558230015202,0.4704484612930152
1231,-0.2521,0.208178544,0.0227,0.408813793,0.283,-1,43,41.0,2025-01-02 16:32:49.449200,-0.0800780059842474,0.1834314310488735
1232,-0.4315,0.094619157,-0.2785,0.291318774,0.3704,-1,43,41.1,2025-01-02 16:32:49.539400,-0.0350925521073418,0.1657662257827838
1235,-0.2969,0.333216858,-0.2817,0.372409195,0.3759,-1,43,41.2,2025-01-02 16:32:49.660100,-0.0084717554168414,0.1382675552847479
1241,-0.49,-0.402254406,0.3305,0.4066,0.2717,-1,43,41.4,2025-01-02 16:32:49.838300,-0.1283968516322816,0.1448952172180871
1252,-0.2863,-0.311488889,-0.036,0.003115709,0.8673,-1,43,41.7,2025-01-02 16:32:50.143600,-0.0436636300519989,0.1983938714916923
1253,-0.2837,-0.243763218,-0.0169,0.035010728,0.8692,-1,43,41.8,2025-01-02 16:32:50.264400,0.081606908155533,0.2463929485018542
1256,0.1631,0.156441379,0.2365,0.217689655,0.6106,-1,43,41.9,2025-01-02 16:32:50.356300,0.1293453166006591,0.2587433457300004
1259,-0.2528,-0.147012261,0.0264,0.119954789,0.8506,-1,43,42.0,2025-01-02 16:32:50.442100,0.1577163404653729,0.2665342272393772
1271,-0.1761,-0.237695785,0.0915,-0.052885057,0.4322,-1,43,42.4,2025-01-02 16:32:50.838500,0.0798627289672653,0.2957669558821675
1274,-0.1557,-0.256308046,0.1148,-0.050671264,0.4178,-1,43,42.5,2025-01-02 16:32:50.960100,0.0477737057424127,0.3125128218070773
1283,-0.0195,-0.065511877,-0.0001,-0.021809962,0.4909,-1,43,42.8,2025-01-02 16:32:51.260900,0.0389218526571155,0.322473720928975
1286,-0.0296,-0.059034483,-0.0115,-0.021563985,0.2993,-1,43,42.9,2025-01-02 16:32:51.348400,0.0405560210665427,0.3234541272247753
1290,-0.4997,-0.001475862,-0.4444,0.37995249,0.3043,-1,43,43.0,2025-01-02 16:32:51.438200,0.1424888283337193,0.3413645467344729
1292,-0.4997,-0.016070498,-0.422,0.179727203,0.301,-1,43,43.1,2025-01-02 16:32:51.559600,0.4476573862885772,0.4026439512618102
1298,0.1919,-0.375442912,0.3443,-0.008117241,0.8629,-1,43,43.3,2025-01-02 16:32:51.745300,0.4586819261870687,0.4494604475419088
1304,0.4146,-0.254094253,0.4996,-0.051655172,0.8375,-1,43,43.5,2025-01-02 16:32:51.957000,0.2414863681459879,0.6233309116868182
1307,0.2281,-0.253438314,0.3572,-0.040996169,0.7881,-1,43,43.6,2025-01-02 16:32:52.048200,0.134926199907703,0.5518664404860842
1310,0.1566,-0.173495785,0.2378,-0.078794636,0.6288,-1,43,43.7,2025-01-02 16:32:52.139200,0.0802493308275033,0.5112092789322163
1313,0.068,-0.369539464,0.1954,-0.136927203,0.8061,-1,43,43.8,2025-01-02 16:32:52.258700,0.0397939487684756,0.4974317627483466
1316,0.1917,0.264261303,0.228,0.327067433,0.7321,-1,43,43.9,2025-01-02 16:32:52.346200,0.0254736345286816,0.4926756610103496
1319,0.3514,0.159885057,0.4249,0.226544828,0.7277,-1,43,44.0,2025-01-02 16:32:52.438400,0.0234061096780092,0.4804300014962532
1322,0.3292,0.208670498,0.4017,0.275166284,0.7493,-1,43,44.1,2025-01-02 16:32:52.560600,0.018090933684551,0.4652885515008502
1325,-0.0613,-0.290252874,0.0556,-0.129219923,0.5107,-1,43,44.2,2025-01-02 16:32:52.650600,0.0082987100258597,0.4589572378086925
1330,-0.335,-0.230316475,-0.184,0.010822989,0.7756,-1,43,44.3,2025-01-02 16:32:52.738100,0.003809227492971,0.440083267384027
1331,-0.4815,-0.158655172,-0.3316,0.081500383,0.524,-1,43,44.4,2025-01-02 16:32:52.862500,0.009465945244481,0.4255368033184371
1340,0.1109,-0.346827586,0.1579,-0.247780843,0.3386,-1,43,44.7,2025-01-02 16:32:53.134600,0.2996110323866389,0.5748640302567608
1345,0.1025,-0.268442912,0.1489,-0.160540996,0.2713,-1,43,44.8,2025-01-02 16:32:53.254900,0.3127423308377354,0.5615838830110382
1346,0.1206,-0.133155556,0.1705,0.047965517,0.3132,-1,43,44.9,2025-01-02 16:32:53.342700,0.3098333017356481,0.5430866799226277
1352,0.2682,-0.101178544,0.3107,-0.043127969,0.3248,-1,43,45.1,2025-01-02 16:32:53.556900,0.2772745429127087,0.4238965133698325
1360,0.0593,-0.102326437,0.1195,0.068873563,0.6611,-1,43,45.3,2025-01-02 16:32:53.740100,0.2702708709119313,0.3704772145897294
1361,0.0502,-0.106180077,0.1178,0.060182375,0.552,-1,43,45.4,2025-01-02 16:32:53.859500,0.2586788109529286,0.3755527573420057
1364,-0.3554,-0.137911111,-0.3179,-0.063544061,0.5105,-1,43,45.5,2025-01-02 16:32:53.950400,0.2866163349974202,0.3886915717687695
1367,0.0988,-0.155703448,0.2272,0.074531034,0.755,-1,43,45.6,2025-01-02 16:32:54.040900,0.3401832422431485,0.4040839596264056
1370,-0.0825,-0.248108812,0.0225,-0.006969349,0.6287,-1,43,45.7,,,
1373,0.079,-0.19751954,0.1071,-0.138813027,0.4843,-1,43,45.8,,,
1378,-0.4845,0.273854406,-0.3931,0.334610728,0.3652,-1,43,45.9,2025-01-02 16:32:54.368400,0.2403979913648055,0.2891618098532772
1379,-0.4844,0.273690421,-0.3927,0.33469272,0.3835,-1,43,46.0,2025-01-02 16:32:54.434300,0.274144058463169,0.3959409178340747
1382,-0.498,0.279429885,-0.3929,0.340022222,0.7078,-1,43,46.1,2025-01-02 16:32:54.553200,0.2343859805078887,0.4602277910076995
1385,-0.4979,0.280987739,-0.3938,0.34100613,0.5382,-1,43,46.2,2025-01-02 16:32:54.645800,0.1892526768366244,0.4819446422422886
1388,-0.4985,0.281561686,-0.3946,0.342481992,0.4745,-1,43,46.3,2025-01-02 16:32:54.735800,0.030175435257842,0.4883941238717262
1391,-0.4982,0.280741762,-0.3963,0.343957854,0.4173,-1,43,46.4,2025-01-02 16:32:54.854900,-0.0531498960078795,0.5116936683257651
1394,-0.4965,0.294762452,-0.3973,0.355190805,0.5826,-1,43,46.5,2025-01-02 16:32:54.947300,-0.0621756156546641,0.4957337859348609
1397,-0.4804,0.142010728,-0.3823,0.201537165,0.2968,-1,43,46.6,2025-01-02 16:32:55.037800,-0.0820900040674009,0.4993698611369001
1400,-0.4905,0.198503448,-0.4063,0.2150659,0.3259,-1,43,46.7,2025-01-02 16:32:55.159100,-0.1016455931070165,0.4734789145495288
1403,-0.4953,0.168248276,-0.4244,0.224740996,0.4025,-1,43,46.8,2025-01-02 16:32:55.249100,-0.088653372263767,0.4848587302760498
1406,-0.4992,0.263277395,-0.4119,0.29574636,0.6045,-1,43,46.9,2025-01-02 16:32:55.339300,-0.065064662941116,0.4980010599961423
1409,-0.4246,-0.135041379,-0.2481,-0.010249042,0.5363,-1,43,47.0,2025-01-02 16:32:55.457300,0.0036294563245151,0.4935224861596594
1427,-0.0481,-0.040258238,-0.003,0.044931801,0.3516,-1,43,47.6,2025-01-02 16:32:56.061600,0.1481736613992054,0.5604246474341066
1434,-0.068,-0.029271264,-0.0028,0.067069732,0.5086,-1,43,47.8,2025-01-02 16:32:56.244800,0.1197802573796019,0.5560168301428292
1436,-0.0728,-0.035338697,-0.0042,0.060018391,0.2523,-1,43,47.9,2025-01-02 16:32:56.336400,0.122869891855103,0.5475261348538631
1439,-0.0806,-0.048211494,-0.0115,0.0642,0.7855,-1,43,48.0,2025-01-02 16:32:56.453300,0.1398544742485165,0.5316192522700685
1442,-0.1105,-0.052393103,-0.037,0.063626054,0.6228,-1,43,48.1,2025-01-02 16:32:56.547500,0.1503676725766395,0.5220668482601103
1446,-0.1326,-0.048457471,-0.0694,0.052065134,0.6091,-1,43,48.2,2025-01-02 16:32:56.639000,0.1408731558123458,0.5246251705818623
1454,-0.1257,-0.051409195,-0.0876,0.04665364,0.278,-1,43,48.5,2025-01-02 16:32:56.941400,0.0862199051600204,0.5375198974615978
1457,-0.1003,-0.044931801,-0.0622,0.055344828,0.3397,-1,43,48.6,2025-01-02 16:32:57.059900,0.0848241108173507,0.5371686385359076
1460,-0.1026,-0.048457471,-0.0553,0.05017931,0.373,-1,43,48.7,2025-01-02 16:32:57.151700,0.0793857071102482,0.5504160665129554
1476,-0.1513,-0.201619157,0.0129,0.113969349,0.2974,-1,43,49.2,2025-01-02 16:32:57.635900,-0.1210735748569583,0.5401899880840573
1479,-0.1586,-0.238269732,0.0126,0.102572414,0.4543,-1,43,49.3,2025-01-02 16:32:57.756300,-0.1202569664097597,0.5260014529879093
1481,-0.1601,-0.221789272,0.0057,0.091503448,0.7475,-1,43,49.4,2025-01-02 16:32:57.844400,-0.0926097196217584,0.5213083561226497
1486,-0.1706,-0.063872031,-0.1228,0.033944828,0.8104,-1,43,49.5,2025-01-02 16:32:57.966600,-0.1349930666488702,0.5236345789489816
1490,-0.1138,0.036732567,-0.0604,0.117495019,0.5761,-1,43,49.7,2025-01-02 16:32:58.149300,-0.1644625298920728,0.5338033310559043
1493,-0.1802,-0.060920307,-0.1189,0.048457471,0.7475,-1,43,49.8,2025-01-02 16:32:58.235400,-0.1641954539609778,0.5390339072575486
1496,0.4179,0.20908046,0.4738,0.289350958,0.8588,-1,43,49.9,2025-01-02 16:32:58.355800,-0.157726064166915,0.5600783459733669
1499,0.3791,0.207358621,0.437,0.287137165,0.8112,-1,43,50.0,2025-01-02 16:32:58.452000,-0.152011238826297,0.5597174425249543
1502,0.2998,0.199487356,0.3537,0.277954023,0.8022,-1,43,50.1,2025-01-02 16:32:58.538400,-0.1332822947622812,0.5565333078549682
1505,0.2469,0.1926,0.2963,0.272706513,0.8384,-1,43,50.2,2025-01-02 16:32:58.663400,-0.1179168911579553,0.5309534196593233
1508,0.3692,0.1080659,0.4437,0.13364751,0.7776,-1,43,50.3,2025-01-02 16:32:58.754000,-0.1119408553898536,0.5309602699745279
1511,0.3122,0.106754023,0.3842,0.132581609,0.7726,-1,43,50.4,2025-01-02 16:32:58.840200,-0.0747072901888177,0.4976114933867419
1514,-0.2718,-0.178825287,-0.2212,-0.093389272,0.8414,-1,43,50.5,2025-01-02 16:32:58.934400,-0.0498678208761224,0.4886586722286421
1519,0.1554,0.107081992,0.227,0.134385441,0.3499,-1,43,50.6,2025-01-02 16:32:59.051600,-0.0654176359139833,0.4585839857657663
