frame	x1	y1	x2	y2	confidence	cluster
585	0.084	-0.0029	0.3412	0.2874	0.3635	-1
585	0.0396	-0.0028	0.3525	0.348	0.27	-1
585	-0.3572	0.0758	-0.1898	0.2756	0.2658	-1
586	0.0581	-0.0006	0.3558	0.365	0.5186	-1
586	-0.2726	0.2391	-0.1438	0.4812	0.4333	-1
586	-0.3569	0.0535	-0.1121	0.2735	0.3763	-1
587	0.0681	-0.0052	0.3494	0.3444	0.609	-1
587	-0.2589	0.2425	-0.147	0.4559	0.3735	-1
587	-0.3571	0.0583	-0.1101	0.2743	0.3531	-1
587	-0.3564	0.0456	-0.1061	0.4764	0.2542	-1
588	0.0683	-0.0044	0.3478	0.3432	0.6152	-1
588	-0.2576	0.2427	-0.1469	0.4558	0.3839	-1
588	-0.3571	0.0585	-0.1101	0.2743	0.3609	-1
588	-0.3564	0.0457	-0.1072	0.4758	0.2529	-1
589	0.0704	-0.0096	0.3749	0.3535	0.7091	-1
589	-0.3554	0.0565	-0.1108	0.2756	0.3979	-1
589	-0.2578	0.2429	-0.1455	0.4566	0.3737	-1
590	0.077	-0.0074	0.3775	0.3494	0.5884	-1
590	-0.2867	0.2401	-0.1454	0.4584	0.3795	-1
590	-0.3555	0.0601	-0.1172	0.274	0.3391	-1
591	0.0774	-0.0051	0.3775	0.3157	0.4449	-1
591	-0.2874	0.2409	-0.1444	0.4533	0.3266	-1
591	-0.3552	0.0601	-0.1078	0.2744	0.2863	-1
592	0.0877	-0.0009	0.3837	0.3532	0.7746	-1
592	-0.3535	0.0557	-0.1098	0.2724	0.4625	-1
592	-0.2784	0.2389	-0.1372	0.4766	0.4088	-1
592	-0.3532	0.0128	0.0471	0.4854	0.281	-1
593	0.0845	-0.0009	0.3887	0.3551	0.7876	-1
593	-0.2787	0.2379	-0.1373	0.4769	0.4529	-1
593	-0.3534	0.0556	-0.109	0.2722	0.4381	-1
593	-0.3531	0.0143	0.0442	0.486	0.3315	-1
594	0.0787	-0.0028	0.3721	0.3472	0.7906	-1
594	-0.3533	0.0551	-0.1062	0.2728	0.423	-1
594	-0.3523	0.0222	0.0462	0.4925	0.339	-1
594	-0.0317	0.0863	0.0388	0.2823	0.2666	-1
595	0.0933	-0.0058	0.3813	0.3294	0.6467	-1
595	-0.3537	0.056	-0.1184	0.2724	0.4363	-1
595	-0.0463	0.0576	0.0448	0.2861	0.399	-1
596	0.09	-0.0132	0.389	0.3413	0.7556	-1
596	-0.3541	0.0462	-0.0992	0.2763	0.542	-1
596	-0.278	0.2382	-0.1317	0.4813	0.2619	-1
597	0.0878	-0.0149	0.3828	0.3328	0.8237	-1
597	-0.3536	0.0488	-0.1212	0.2732	0.6425	-1
597	-0.2795	0.2356	-0.1323	0.4838	0.5258	-1
597	-0.0344	0.0587	0.0475	0.2741	0.4377	-1
598	0.0861	-0.0152	0.381	0.334	0.8204	-1
598	-0.3534	0.0496	-0.1229	0.2734	0.6227	-1
598	-0.2788	0.2359	-0.1326	0.4827	0.4141	-1
598	-0.0347	0.0587	0.0482	0.2752	0.336	-1
599	0.1002	-0.017	0.3872	0.3104	0.8243	-1
599	-0.3546	0.0474	-0.0877	0.2793	0.3359	-1
599	-0.0462	0.0192	0.0494	0.2726	0.3257	-1
600	0.0998	-0.0192	0.3886	0.3055	0.7837	-1
600	-0.0266	0.0621	0.0459	0.2682	0.5769	-1
600	-0.3537	0.0403	-0.0939	0.2732	0.4086	-1
600	-0.274	0.2357	-0.1303	0.4835	0.3566	-1
600	-0.3506	0.0222	0.044	0.4961	0.3136	-1
601	0.1026	-0.0195	0.3875	0.3101	0.8686	-1
601	-0.3529	0.0166	0.0547	0.4978	0.6804	-1
601	-0.354	0.041	-0.0911	0.2812	0.3868	-1
602	0.1009	-0.0163	0.3977	0.3194	0.7988	-1
602	-0.3514	0.0004	0.0551	0.4966	0.6441	-1
603	0.1011	-0.0153	0.3977	0.3049	0.7931	-1
603	-0.3518	-0.0038	0.0556	0.4968	0.7011	-1
604	0.1078	-0.0228	0.4004	0.298	0.7583	-1
604	-0.352	0.0096	0.0578	0.4939	0.5243	-1
605	-0.3518	0.0075	0.0623	0.4852	0.7124	-1
605	0.1163	-0.0207	0.4021	0.3211	0.709	-1
605	-0.3529	0.0112	0.0615	0.3384	0.6539	-1
606	0.1118	-0.0215	0.3969	0.2799	0.7887	-1
606	-0.3496	0.0069	0.0658	0.4911	0.6542	-1
607	-0.35	0.0182	0.0647	0.5	0.6162	-1
607	0.1163	-0.0206	0.4079	0.2635	0.5817	-1
608	-0.3497	0.0179	0.0649	0.496	0.6066	-1
608	0.1163	-0.02	0.4071	0.2647	0.5458	-1
608	0.1191	-0.0177	0.3284	0.2464	0.3706	-1
609	-0.3545	0.0144	0.0599	0.4982	0.7257	-1
609	0.1152	-0.0146	0.3159	0.251	0.6934	-1
609	0.1141	-0.016	0.4027	0.252	0.3275	-1
610	-0.3564	0.0182	0.0587	0.5	0.5993	-1
610	0.1171	-0.0079	0.349	0.2559	0.5459	-1
610	0.1131	-0.0093	0.4111	0.3257	0.4723	-1
610	-0.277	0.2607	-0.1144	0.4946	0.4186	-1
610	-0.3564	0.0584	-0.0748	0.2913	0.2987	-1
611	-0.2793	0.2639	-0.114	0.4934	0.7566	-1
611	0.1083	-0.0061	0.4211	0.3353	0.7506	-1
611	-0.3568	0.0163	0.0575	0.3978	0.7084	-1
612	0.107	-0.0028	0.4264	0.3288	0.7873	-1
612	-0.2743	0.2679	-0.112	0.4959	0.6732	-1
612	-0.3555	0.0149	0.0566	0.4492	0.6688	-1
613	0.1083	-0.003	0.4278	0.3316	0.7574	-1
613	-0.3553	0.0135	0.0597	0.4585	0.6725	-1
613	-0.2742	0.2679	-0.1115	0.496	0.6675	-1
614	-0.3493	0.0121	0.0593	0.4971	0.8141	-1
