Timestamp,EAR,Normalized EAR,EAR 0/1,Transition Count
00:29.0,0.192144268,22.362665573829563,0,0
00:29.1,0.303541442,62.435092891825775,1,1
00:29.1,0.34503019,77.35966215194597,1,0
00:29.1,0.332669394,72.9131660558908,1,0
00:29.2,0.35536344,81.07679782707254,1,0
00:29.2,0.384352843,91.50503135398051,1,0
00:29.3,0.330425034,72.10581206524631,1,0
00:29.3,0.34805318,78.4471093708317,1,0
00:29.3,0.337213906,74.54794385389634,1,0
00:29.4,0.364624226,84.40814063018995,1,0
00:29.4,0.3527767,80.14628094842577,1,0
00:29.4,0.360263911,82.8396232284732,1,0
00:29.5,0.366186782,84.97023219402351,1,0
00:29.5,0.34252892,76.45989102958623,1,0
00:29.5,0.365785064,84.82572390194304,1,0
00:29.6,0.381598979,90.51439567606245,1,0
00:29.6,0.369413065,86.13080913132343,1,0
00:29.6,0.377051431,88.87852575080656,1,0
00:29.7,0.376195223,88.57052572156806,1,0
00:29.7,0.334584514,73.60208395433983,1,0
00:29.7,0.321872855,69.02937341709898,1,0
00:29.8,0.350372866,79.28156006017838,1,0
00:29.8,0.36508909,84.57536416184574,1,0
00:29.8,0.365450887,84.70551184392579,1,0
00:29.9,0.350845731,79.45166175722613,1,0
00:29.9,0.389644953,93.40873937204786,1,0
00:29.9,0.37328555,87.52384154076796,1,0
00:30.0,0.37328555,87.52384154076796,1,0
00:30.0,0.332001829,72.67302576344014,1,0
00:30.0,0.330247582,72.04197801885988,1,0
00:30.1,0.374874727,88.09550936268175,1,0
00:30.1,0.350557586,79.34800859301261,1,0
00:30.1,0.349532237,78.97916419774924,1,0
00:30.2,0.349836802,79.08872405809278,1,0
00:30.2,0.351581626,79.71638210732385,1,0
00:30.3,0.389644953,93.40873937204786,1,0
00:30.3,0.370780341,86.62265345884327,1,0
00:30.3,0.35193013,79.8417479555637,1,0
00:30.4,0.349275174,78.88669202800061,1,0
00:30.4,0.364978022,84.53541014687804,1,0
00:30.4,0.338455423,74.99454943606808,1,0
00:30.5,0.350510324,79.3310072365877,1,0
00:30.5,0.375953739,88.48365771862878,1,0
00:30.5,0.360701451,82.99701761487583,1,0
00:30.6,0.374670561,88.02206560372422,1,0
00:30.6,0.36388033,84.14054211470024,1,0
00:30.6,0.407967971,100.0,1,0
00:30.7,0.359166219,82.44475519629543,1,0
00:30.7,0.367395542,85.405054241169,1,0
00:30.7,0.375768253,88.416933635902,1,0
00:30.8,0.375768253,88.416933635902,1,0
00:30.8,0.375760785,88.41424720431252,1,0
00:30.9,0.390174903,93.59937601115303,1,0
00:30.9,0.38959859,93.39206140903468,1,0
00:30.9,0.361799143,83.39188564705361,1,0
00:31.0,0.356811231,81.59760546999489,1,0
00:31.0,0.388315412,92.93046929413012,1,0
00:31.0,0.356811231,81.59760546999489,1,0
00:31.1,0.390174903,93.59937601115303,1,0
00:31.1,0.349464054,78.9546370197813,1,0
00:31.1,0.373387382,87.56047312909394,1,0
00:31.2,0.36388033,84.14054211470024,1,0
00:31.2,0.36171038,83.35995531400918,1,0
00:31.2,0.362800605,83.75213727432322,1,0
00:31.3,0.364716342,84.44127712353426,1,0
00:31.3,0.361702913,83.35726924214543,1,0
00:31.3,0.328776649,71.51284560359643,1,0
00:31.4,0.365806566,84.83345872412256,1,0
00:31.4,0.360508497,82.92760710055957,1,0
00:31.4,0.364716342,84.44127712353426,1,0
00:31.4,0.328127872,71.27946383775301,1,0
00:31.5,0.334477064,73.56343142698469,1,0
00:31.5,0.360263911,82.8396232284732,1,0
00:31.5,0.34908222,78.81728151368435,1,0
00:31.6,0.363433164,83.97968500862967,1,0
00:31.6,0.360701451,82.99701761487583,1,0
00:31.6,0.347928822,78.4023746012009,1,0
00:31.7,0.349438191,78.94533343378795,1,0
00:31.7,0.36171038,83.35995531400918,1,0
00:31.7,0.36388033,84.14054211470024,1,0
00:31.8,0.363433164,83.97968500862967,1,0
00:31.8,0.39613382,95.74295164958411,1,0
00:31.8,0.346206039,77.78264526630612,1,0
00:31.9,0.374477607,87.95265508940795,1,0
00:31.9,0.326257124,70.60650768843196,1,0
00:32.0,0.310086836,64.78963938447421,1,0
00:32.0,0.179712304,17.890568518567225,0,0
00:32.0,0.175139935,16.245769841506004,0,0
00:32.1,0.276571097,52.73316643403445,1,1
00:32.1,0.269623163,50.233815954773334,1,0
00:32.1,0.31992681,68.32933100112126,1,0
00:32.2,0.332242828,72.75971929941089,1,0
00:32.2,0.337197682,74.54210766400516,1,0
00:32.2,0.360701451,82.99701761487583,1,0
00:32.3,0.315649189,66.79056075712535,1,0
00:32.3,0.343445705,76.78968216305545,1,0
00:32.3,0.349525518,78.97674720071527,1,0
00:32.4,0.364633231,84.41137996019306,1,0
00:32.4,0.376623979,88.72476027734912,1,0
00:32.4,0.36198463,83.4586100895061,1,0
00:32.5,0.36198463,83.4586100895061,1,0
00:32.5,0.357774955,81.94428176848527,1,0
