Timestamp,EAR,Normalized EAR,EAR 0/1,Transition Count
31:52.4,0.307345679,56.0407227213563,1,0
31:52.4,0.321980286,59.70701098317686,1,0
31:52.4,0.312560014,57.347027373315875,1,0
31:52.5,0.336891214,63.44252368257843,1,0
31:52.5,0.309579796,56.600417760152624,1,0
31:52.6,0.196435373,28.255271905852698,0,0
31:52.6,0.187073561,25.90993380111434,0,0
31:52.6,0.14986207,16.587643652964758,0,0
31:52.7,0.151924138,17.104236664548587,0,0
31:52.7,0.186315324,25.71997889403839,0,0
31:52.8,0.312792717,57.40532455050624,1,1
31:52.9,0.127545879,10.996951049340673,0,0
31:52.9,0.282523324,49.822181371578864,1,1
31:52.9,0.243114682,39.949456973931,1,0
31:53.0,0.245296122,40.4959552752428,1,0
31:53.0,0.281749399,49.62829627831811,1,0
31:53.0,0.147657783,16.03542167981689,0,0
31:53.1,0.17076044,21.82314117074455,0,0
31:53.1,0.198121799,28.67775840297756,0,0
31:53.1,0.228692865,36.33647724846082,1,1
31:53.2,0.188876971,26.361727341880403,0,0
31:53.2,0.201698531,29.573807784233775,0,0
31:53.2,0.207930681,31.135097294153997,0,0
31:53.3,0.286921915,50.924124358626585,1,1
31:53.3,0.282379711,49.78620318260905,1,0
31:53.3,0.352642933,67.38867286671409,1,0
31:53.4,0.257597324,43.57767468860891,1,0
31:53.4,0.253563708,42.5671658998528,1,0
31:53.4,0.273085834,47.45788427716091,1,0
31:53.5,0.287761915,51.13456268060743,1,0
31:53.5,0.144880905,15.339753171881714,0,0
31:53.5,0.245499137,40.546814960882024,1,1
31:53.5,0.278251458,48.75198576114188,1,0
31:53.6,0.2609716,44.42300442591875,1,0
31:53.6,0.211689707,32.07681529858542,0,0
31:53.6,0.226992664,35.910539813377284,1,1
31:53.7,0.222014835,34.663485073058666,0,0
31:53.7,0.197836583,28.606305573879837,0,0
31:53.7,0.217392174,33.505407663622556,0,0
31:53.8,0.217060786,33.42238774142662,0,0
31:53.8,0.183349381,24.97694547973975,0,0
31:53.8,0.194534436,27.77904572433923,0,0
31:53.9,0.1930539,27.408139163062746,0,0
31:53.9,0.185742474,25.576467474101804,0,0
31:53.9,0.278929604,48.92187612578239,1,1
31:54.0,0.182214528,24.69264004996006,0,0
31:54.0,0.191353438,26.982136341786305,0,0
31:54.0,0.156458739,18.240253123230378,0,0
31:54.1,0.159946381,19.113983516266032,0,0
31:54.1,0.208672464,31.320930115337237,0,0
31:54.1,0.159414079,18.98063025475763,0,0
